"","unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location","location_address","location_city","location_state","location_zip"
"11",58608711,2023-08-24 14:56:00,2023-08-25 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10303,"1107 GOETHALS ROAD NORTH","GOETHALS ROAD NORTH","SOUTH AVE","MEEKER AVE","","","ADDRESS","STATEN ISLAND",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated this complaint and referred it to the Department of Environmental Conservation for further action.",2023-08-25 00:00:00,"01 STATEN ISLAND",5017170155,"STATEN ISLAND",936523,166311,"ONLINE","Unspecified","STATEN ISLAND",NA,NA,NA,NA,NA,NA,NA,40.6230332075645,-74.1719267599435,"POINT (-74.1719267599435 40.62303320756448)",NA,NA,NA,NA
"12",58603041,2023-08-23 18:11:00,2023-08-24 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11104,"39-23 QUEENS BOULEVARD","QUEENS BOULEVARD","39 PL","40 ST","","","ADDRESS","SUNNYSIDE",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-08-24 00:00:00,"02 QUEENS",4001900005,"QUEENS",1005020,210312,"PHONE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7439100651549,-73.9250446137781,"POINT (-73.92504461377807 40.743910065154935)",NA,NA,NA,NA
"13",58601842,2023-08-23 10:08:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10022,"1057 2 AVENUE","2 AVENUE","E 55 ST","E 56 ST","","","ADDRESS","NEW YORK",NA,"N/A","Open",NA,"",NA,"06 MANHATTAN",1013290026,"MANHATTAN",993685,215596,"ONLINE","Unspecified","MANHATTAN",NA,NA,NA,NA,NA,NA,NA,40.7584326657948,-73.9659432743897,"POINT (-73.96594327438974 40.758432665794786)",NA,NA,NA,NA
"14",58584251,2023-08-22 13:02:00,2023-08-22 13:02:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10312,"47 CARLYLE GREEN","CARLYLE GREEN","ARTHUR KILL RD","BEND","","","ADDRESS","STATEN ISLAND",NA,"N/A","Closed",NA,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-08-22 00:00:00,"03 STATEN ISLAND",5060210029,"STATEN ISLAND",929049,142051,"PHONE","Unspecified","STATEN ISLAND",NA,NA,NA,NA,NA,NA,NA,40.5564011157551,-74.1986520451902,"POINT (-74.19865204519023 40.55640111575514)",NA,NA,NA,NA
"15",58585489,2023-08-22 09:08:00,2023-08-09 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11364,"215-01 73 AVENUE","73 AVENUE","215 ST","BELL BLVD","","","ADDRESS","OAKLAND GARDENS",NA,"N/A","Pending",NA,"The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.",2023-08-09 00:00:00,"11 QUEENS",4076380001,"QUEENS",1051008,209183,"PHONE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7405836704297,-73.7590935220102,"POINT (-73.7590935220102 40.74058367042974)",NA,NA,NA,NA
"16",58576547,2023-08-21 17:26:00,2023-08-22 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11237,"264 BLEECKER STREET","BLEECKER STREET","MYRTLE AVE","IRVING AVE","","","ADDRESS","BROOKLYN",NA,"N/A","Closed",NA,"",2023-08-22 00:00:00,"04 BROOKLYN",3033090006,"BROOKLYN",1007215,194035,"PHONE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.6992282238467,-73.9171787759941,"POINT (-73.91717877599413 40.699228223846745)",NA,NA,NA,NA
"17",58582938,2023-08-21 11:32:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10473,"1930 PATTERSON AVENUE","PATTERSON AVENUE","WHITE PLAINS RD","COMPTON AVE","","","ADDRESS","BRONX",NA,"N/A","Open",NA,"",NA,"09 BRONX",2034750045,"BRONX",1024202,235737,"PHONE","Unspecified","BRONX",NA,NA,NA,NA,NA,NA,NA,40.8136290245295,-73.8556689630486,"POINT (-73.85566896304863 40.8136290245295)",NA,NA,NA,NA
"18",58545578,2023-08-18 15:53:00,2023-08-22 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11373,"","","","","WHITNEY AVENUE","BENHAM STREET","INTERSECTION","QUEENS",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-08-22 00:00:00,"04 QUEENS",NA,"QUEENS",1019168,211769,"ONLINE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7478646151019,-73.8739793874429,"POINT (-73.87397938744287 40.747864615101896)",NA,NA,NA,NA
"19",58539094,2023-08-17 13:44:00,2023-08-18 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11385,"1805 WEIRFIELD STREET","WEIRFIELD STREET","SENECA AVE","MYRTLE AVE","","","ADDRESS","RIDGEWOOD",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-08-18 00:00:00,"05 QUEENS",NA,"QUEENS",1011212,194399,"PHONE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7002160428681,-73.9027625057908,"POINT (-73.90276250579083 40.70021604286806)",NA,NA,NA,NA
"20",58513473,2023-08-15 19:44:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10310,"123 REGAN AVENUE","REGAN AVENUE","DE KAY ST","FOREST AVE","","","ADDRESS","STATEN ISLAND",NA,"N/A","Open",NA,"",NA,"01 STATEN ISLAND",5001560071,"STATEN ISLAND",953960,169357,"PHONE","Unspecified","STATEN ISLAND",NA,NA,NA,NA,NA,NA,NA,40.6314706072483,-74.1091272855203,"POINT (-74.10912728552029 40.63147060724833)",NA,NA,NA,NA
"21",58516037,2023-08-15 10:32:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10030,"","","","","WEST 139 STREET","ADAM CLAYTON POWELL JR BOULEVARD","INTERSECTION","MANHATTAN",NA,"N/A","Open",NA,"",NA,"10 MANHATTAN",NA,"MANHATTAN",1000347,237246,"PHONE","Unspecified","MANHATTAN",NA,NA,NA,NA,NA,NA,NA,40.8178464799961,-73.9418441365228,"POINT (-73.94184413652282 40.81784647999613)",NA,NA,NA,NA
"22",58499680,2023-08-13 22:35:00,2023-08-14 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11208,"18 HIGHLAND PLACE","HIGHLAND PLACE","ETNA ST","RIDGEWOOD AVE","","","ADDRESS","BROOKLYN",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated this complaint and referred it to the Department of Sanitation for further action.",2023-08-14 00:00:00,"05 BROOKLYN",3039120037,"BROOKLYN",1016975,188746,"PHONE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.684680442561,-73.8820059360337,"POINT (-73.88200593603372 40.684680442561)",NA,NA,NA,NA
"23",58472096,2023-08-10 12:41:00,2023-08-03 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11208,"","","","","HIGHLAND PLACE","ETNA STREET","INTERSECTION","BROOKLYN",NA,"N/A","Pending",NA,"The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.",2023-08-03 00:00:00,"05 BROOKLYN",NA,"BROOKLYN",1016961,188837,"PHONE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.6849302682987,-73.8820559729355,"POINT (-73.88205597293546 40.68493026829871)",NA,NA,NA,NA
"24",58442474,2023-08-07 21:29:00,2023-08-14 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11368,"97-77 CORONA AVENUE","CORONA AVENUE","97 PL","98 ST","","","ADDRESS","CORONA",NA,"N/A","Closed",NA,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-08-14 00:00:00,"04 QUEENS",4016260077,"QUEENS",1021585,210549,"ONLINE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7445061507565,-73.86526311291,"POINT (-73.86526311290999 40.74450615075646)",NA,NA,NA,NA
"25",58435055,2023-08-07 11:53:00,2023-08-09 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11209,"237 79 STREET","79 STREET","RIDGE BLVD","3 AVE","","","ADDRESS","BROOKLYN",NA,"N/A","Closed",NA,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-08-09 00:00:00,"10 BROOKLYN",3059680069,"BROOKLYN",975767,168421,"ONLINE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.6289492102479,-74.0305609629795,"POINT (-74.03056096297946 40.628949210247846)",NA,NA,NA,NA
"26",58424068,2023-08-05 17:59:00,2023-08-10 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11364,"215-01 73 AVENUE","73 AVENUE","215 ST","BELL BLVD","","","ADDRESS","OAKLAND GARDENS",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-08-10 00:00:00,"11 QUEENS",4076380001,"QUEENS",1051008,209183,"ONLINE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7405836704297,-73.7590935220102,"POINT (-73.7590935220102 40.74058367042974)",NA,NA,NA,NA
"27",58413083,2023-08-04 14:35:00,2023-08-09 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11691,"533 BEACH   43 STREET","BEACH   43 STREET","BEACH CHANNEL DR","DEAD END","","","ADDRESS","FAR ROCKAWAY",NA,"N/A","Closed",NA,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-08-09 00:00:00,"14 QUEENS",4159620078,"QUEENS",1046667,157822,"PHONE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.5996414090281,-73.775234188151,"POINT (-73.77523418815096 40.59964140902811)",NA,NA,NA,NA
"28",58397984,2023-08-03 16:23:00,2023-08-11 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11385,"933 SENECA AVENUE","SENECA AVENUE","HANCOCK ST","WEIRFIELD ST","","","ADDRESS","RIDGEWOOD",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated this complaint and referred it to the Bureau of Water and Sewer Operations for further action.",2023-08-11 00:00:00,"05 QUEENS",4035720001,"QUEENS",1011031,194420,"ONLINE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7002742325498,-73.9034151918171,"POINT (-73.90341519181715 40.7002742325498)",NA,NA,NA,NA
"29",58400531,2023-08-03 13:02:00,2023-08-09 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10307,"99 ELLIS STREET","ELLIS STREET","ARTHUR KILL RD","WEIR LN","","","ADDRESS","STATEN ISLAND",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-08-09 00:00:00,"03 STATEN ISLAND",5079910100,"STATEN ISLAND",916523,127387,"PHONE","Unspecified","STATEN ISLAND",NA,NA,NA,NA,NA,NA,NA,40.5160645207412,-74.2435824557033,"POINT (-74.24358245570335 40.5160645207412)",NA,NA,NA,NA
"30",58387588,2023-08-02 15:20:00,2023-08-09 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11101,"10-15 44 ROAD","44 ROAD","10 ST","11 ST","","","ADDRESS","LONG ISLAND CITY",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-08-09 00:00:00,"02 QUEENS",4004490001,"QUEENS",997926,212359,"PHONE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7495423812723,-73.95064148006,"POINT (-73.95064148005996 40.74954238127235)",NA,NA,NA,NA
"31",58371300,2023-07-31 10:05:00,2023-08-03 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11220,"5724 5 AVENUE","5 AVENUE","57 ST","58 ST","","","ADDRESS","BROOKLYN",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-08-03 00:00:00,"07 BROOKLYN",3008470044,"BROOKLYN",980200,172814,"PHONE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.641010197257,-74.0145932181983,"POINT (-74.01459321819834 40.641010197256996)",NA,NA,NA,NA
"32",58374021,2023-07-31 08:38:00,2023-08-15 13:21:00,"DEP","Department of Environmental Protection","Water Quality","Oil, Grease In Water (QD1)","",10314,"71 ADA DRIVE","ADA DRIVE","BEND","LENORE CT","","","ADDRESS","STATEN ISLAND",NA,"N/A","Closed",NA,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-08-15 13:21:00,"01 STATEN ISLAND",5016580045,"STATEN ISLAND",940832,165277,"PHONE","Unspecified","STATEN ISLAND",NA,NA,NA,NA,NA,NA,NA,40.6202172633101,-74.156397852745,"POINT (-74.15639785274497 40.62021726331011)",NA,NA,NA,NA
"33",58306133,2023-07-25 07:41:00,2023-08-01 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11212,"446 MOTHER GASTON BOULEVARD","MOTHER GASTON BOULEVARD","BELMONT AVE","SUTTER AVE","","","ADDRESS","BROOKLYN",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-08-01 00:00:00,"16 BROOKLYN",3035260325,"BROOKLYN",1010194,182721,"ONLINE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.6681656597106,-73.9064788482092,"POINT (-73.90647884820922 40.66816565971064)",NA,NA,NA,NA
"34",58286282,2023-07-23 20:17:00,2023-07-28 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11369,"25-01 CURTIS STREET","CURTIS STREET","25 AVE","27 AVE","","","ADDRESS","EAST ELMHURST",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-07-28 00:00:00,"03 QUEENS",4016550017,"QUEENS",1021211,218349,"PHONE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7659167126552,-73.8665699480974,"POINT (-73.86656994809742 40.76591671265524)",NA,NA,NA,NA
"35",58269059,2023-07-21 12:38:00,2023-07-25 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11208,"18 HIGHLAND PLACE","HIGHLAND PLACE","ETNA ST","RIDGEWOOD AVE","","","ADDRESS","BROOKLYN",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated this complaint and found no violation.",2023-07-25 00:00:00,"05 BROOKLYN",3039120037,"BROOKLYN",1016975,188746,"PHONE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.684680442561,-73.8820059360337,"POINT (-73.88200593603372 40.684680442561)",NA,NA,NA,NA
"36",58272760,2023-07-21 09:02:00,2023-07-24 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11374,"63-53 BOOTH STREET","BOOTH STREET","63 AVE","63 DR","","","ADDRESS","REGO PARK",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-07-24 00:00:00,"06 QUEENS",NA,"QUEENS",1021937,204881,"ONLINE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7289474174064,-73.8640245472078,"POINT (-73.86402454720783 40.72894741740642)",NA,NA,NA,NA
"37",58260040,2023-07-20 20:14:00,2023-07-25 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10025,"795 COLUMBUS AVENUE","COLUMBUS AVENUE","W 97 ST","W 100 ST","","","ADDRESS","NEW YORK",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-07-25 00:00:00,"07 MANHATTAN",1018337506,"MANHATTAN",993589,228758,"PHONE","Unspecified","MANHATTAN",NA,NA,NA,NA,NA,NA,NA,40.7945589922103,-73.9662715042874,"POINT (-73.96627150428745 40.79455899221026)",NA,NA,NA,NA
"38",58253230,2023-07-20 15:53:00,2023-07-24 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11372,"37-15 82 STREET","82 STREET","37 AVE","ROOSEVELT AVE","","","ADDRESS","JACKSON HEIGHTS",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-07-24 00:00:00,"03 QUEENS",4014700059,"QUEENS",1016324,212331,"PHONE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7494179350064,-73.8842408168918,"POINT (-73.88424081689182 40.74941793500645)",NA,NA,NA,NA
"39",58260039,2023-07-20 11:50:00,2023-07-20 11:50:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11208,"","","","","HIGHLAND PLACE","ETNA STREET","INTERSECTION","BROOKLYN",NA,"N/A","Closed",NA,"The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.",2023-07-20 00:00:00,"05 BROOKLYN",NA,"BROOKLYN",1016961,188837,"PHONE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.6849302682987,-73.8820559729355,"POINT (-73.88205597293546 40.68493026829871)",NA,NA,NA,NA
"40",58262675,2023-07-20 10:41:00,2023-07-24 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11372,"37-15 82 STREET","82 STREET","37 AVE","ROOSEVELT AVE","","","ADDRESS","JACKSON HEIGHTS",NA,"N/A","Closed",NA,"The Department of Environmental Protection investigated the complaint and issued a violation or order.",2023-07-24 00:00:00,"03 QUEENS",4014700059,"QUEENS",1016324,212331,"PHONE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7494179350064,-73.8842408168918,"POINT (-73.88424081689182 40.74941793500645)",NA,NA,NA,NA
"41",58250548,2023-07-19 06:23:00,2023-07-20 00:00:00,"DEP","Department of Environmental Protection","Water Quality","Oil, Grease In Water (QD1)","",11211,"265 POWERS STREET","POWERS STREET","JUDGE ST","OLIVE ST","","","ADDRESS","BROOKLYN",NA,"N/A","Closed",NA,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-07-20 00:00:00,"01 BROOKLYN",3029200037,"BROOKLYN",1001071,199072,"ONLINE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.7130674090253,-73.939323972865,"POINT (-73.93932397286505 40.7130674090253)",NA,NA,NA,NA
"42",58246654,2023-07-19 02:20:00,2023-07-19 02:20:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11208,"","","","","HIGHLAND PLACE","JAMAICA AVENUE","INTERSECTION","BROOKLYN",NA,"N/A","Closed",NA,"The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.",2023-07-19 00:00:00,"05 BROOKLYN",NA,"BROOKLYN",1016920,188994,"PHONE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.6853613484564,-73.8822030426719,"POINT (-73.88220304267186 40.68536134845638)",NA,NA,NA,NA
"43",58241113,2023-07-18 20:17:00,2023-07-19 00:00:00,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11207,"242 SUNNYSIDE AVENUE","SUNNYSIDE AVENUE","SUNNYSIDE CT","DEAD END","","","ADDRESS","BROOKLYN",NA,"N/A","Closed",NA,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-07-19 00:00:00,"05 BROOKLYN",3038980022,"BROOKLYN",1015019,188151,"PHONE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.6830543202384,-73.8890612469094,"POINT (-73.88906124690945 40.683054320238355)",NA,NA,NA,NA
