charge_1_code,n,relevant_charge,charge_1_code_description
AR11,1,IMPROPER DISPOSAL,RECYCLABLES PLACED FOR COLLECTION WITH NON-RECYC 9+ DWELLING UNITS
AR12,1,IMPROPER DISPOSAL,IMPROPER MISUSED CURBSIDE RECYCLING CONTAINER NINE OR MORE DWLNG UNITS
AR14,1,improper signage ,FAILURE TO POST NOTICES INFORM ABOUT RECYCLING 9 OR MORE DWELLING UNIT
AR15,1,storage receptacles,NO ACCESSIBLE RECYCLING STORAGE AREA 9 OR MORE DWELLING UNITS
AR17,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL OF RECYC MISUSE OF CONTAINER 9+ DWELLING UNITS
AR18,1,storage receptacles,FAILURE TO CLEAN RECYCLABLES 9 OR MORE DWELLING UNITS
AR19,1,IMPROPER DISPOSAL,FAILURE TO BUNDLE NEWSPAPERS MAGAZINES CARDBOARD 9+ DWELLING UNITS
AR1A,1,IMPROPER DISPOSAL,FAIL TO COMPLY W COMM.ORDER TO USE CLEAR BAGS 9+ DWELLING UNITS
AR1E,1,IMPROPER DISPOSAL,IMPROPER MISUSED CURBSIDE RECYCLING CONTAINER 1 TO 8 DWELLING UNITS
AR1F,1,storage receptacles,NO ACCESSIBLE RECYCLING STORAGE AREA 4 TO 8 DWELLING UNITS
AR1G,1,storage receptacles,FAILURE TO CLEAN RECYCLABLES 1 TO 8 DWELLING UNITS
AR1H,1,IMPROPER DISPOSAL,NON-RECYC LEFT IN RECYC CONTAINER FOR COLLECTION 1TO8 DWELLING UNITS
AR1J,1,storage receptacles,FAILURE TO SOURCE SEPARATE RESIDENTIAL RECYC 1 TO 8 DWELLING UNITS
AR20,1,FAILURE TO RECYCLE,FAILURE TO PROPERLY PUT RECYCLS OUT FOR COLLECTION 9+ DWELLING UNITS
AR21,1,IMPROPER DISPOSAL,NON-RECYCLABLES IN RECYC. CONTAINER FOR COLLECTION 9+ DWELLING UNTS
AR22,1,IMPROPER DISPOSAL,RECYCLABLES PLACED FOR COLLECTION W NON-RECYCL 9+ DWELLING UNITS
AR25,1,improper signage ,FAILURE TO POST NOTICES INFORM ABOUT RECYCLING 9 OR MORE DWELNG UNITS
AR26,1,storage receptacles,NO ACCESSIBLE RECYCLING STORAGE AREA 9 OR MORE DWELLING UNITS
AR2E,1,IMPROPER DISPOSAL,IMPROPER MISUSED CURBSIDE RECYCLING CONTAINER 1-8 DWELLING UNITS
AR31,1,FAILURE TO RECYCLE,FAILURE TO PROPERLY PUT RECYCLS OUT FOR COLLECTION 9+ DWELLING UNITS
AR32,1,IMPROPER DISPOSAL,NON-RECYCLABLES IN RECYC. CONTAINER FOR COLLECTION 9+ DWELLING UNITS
AR33,1,IMPROPER DISPOSAL,RECYCLABLES PLACED FOR COLLECTION W NON-RECYCL 9+ DWELLING UNITS
AR34,1,RECYCLING PROGRAM,FAILURE TO ESTABLISH RECYCLING PROGRAM
AR35,1,RECYCLING PROGRAM,FAILURE TO NOTIFY EMPLOYEES ABOUT RECYCLING PROGRAM
AR36,1,improper signage ,RECYCLING CONTAINERS NOT PROVIDED NOT LABELED
AR41,1,IMPROPER DISPOSAL,FAILURE TO SOURCE SEPARATE DESIGNATED RECYCLABLES
AR44,1,improper signage ,RECYCLING CONTAINERS NOT PROVIDED NOT LABELED
AR46,1,IMPROPER DISPOSAL,FAILURE TO SOURCE SEPARATE NON-FOOD BEVERAGE RECYCLABLES
AR48,1,IMPROPER DISPOSAL,FAILURE TO SOURCE SEPARATE RESIDENTIAL RECYCLABLES 9+ DWELLING UNITS
AR4E,1,IMPROPER DISPOSAL,IMPROPER MISUSED MECHANIZED RECYCLING CONTAINER 1 TO 8 DWELLING UNITS
AR4F,1,storage receptacles,INADEQUATE RECYCLING CONTAINERS IN STORAGE AREA 4 TO 8 DWELLING UNITS
AR4G,1,IMPROPER DISPOSAL,FAILURE TO BUNDLE NEWSPAPES MAGAZINES CARDBOARD 1 TO 8 DWELLING UNITS
AR4H,1,IMPROPER DISPOSAL,RECYC PLACED FOR COLLECTION W NON-RECYC 1 TO 8 DWELLING UNITS
AR51,1,IMPROPER DISPOSAL,FAILURE TO MAINTAIN SOURCE SEPARATION
AR6B,1,IMPROPER DISPOSAL,RECYCLABLES PLACED FOR COLLECTION W NON-RECYCL 9+ DWELLING UNITS
AR6H,1,IMPROPER DISPOSAL,RECYCLABLES PLACED FOR COLLECTION W NON-RECYC 1 TO 8 DWELLING UNITS
AR70,1,RECYCLING PROGRAM,NO WRITTEN RECYCLING NOTICE TO TENANTS EMPLOYEES
AR76,1,IMPROPER DISPOSAL,FAILURE TO MAINTAIN SEPARATION OF PAPER TRANSFER STATIONS
AR79,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL-RECYCLABLE OR COMMINGLED MATERIALS TRANSFER STN-2D
AR7C,1,IMPROPER DISPOSAL,FAILURE TO MAINTAIN SOURCE SEPARATION 4TH OR SUBSEQUENT VIOL IN 6MON
AR7E,1,improper signage ,FAILURE TO POST NOTICES INFORM ABOUT RECYCLING 4 TO 8 DWELLING UNITS
AR7F,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL OF RECYC MISUSE OF CONTAINER 1 TO 8 DWELLING UNITS
AR7H,1,IMPROPER DISPOSAL,FAIL TO COMPLY W COMM.ORDER TO USE CLEAR BAGS 4-8 DWELLING UNITS
AR8G,1,FAILURE TO RECYCLE,FAILURE TO PROPERLY PUT RECYCS OUT FOR COLLECTION 1TO8DWELLING UNITS
AR9H,1,IMPROPER DISPOSAL,FAIL TO COMPLY W COMM.ORDER TO USE CLEAR BAGS 4-8 DWELLING UNITS
ARA1,1,IMPROPER DISPOSAL,FAILURE TO SEPARATE RECYCLABLES SOURCE SEPARATION 1ST
ARA7,1,IMPROPER DISPOSAL,FAILURE TO BUNDLE NEWSPAPER CARDBOARD SOURCE SEPARATION 1ST
ARB1,1,IMPROPER DISPOSAL,FAILURE TO BUNDLE NEWSPAPER CARDBOARD SINGLE STREAM 1ST
ARB4,1,IMPROPER DISPOSAL,MIXED YARD WASTE 1ST
ARC1,1,IMPROPER DISPOSAL,MIXED CONSTRUCTION AND DEMOLITION DEBRIS 1ST
ARC4,1,IMPROPER DISPOSAL,RECYCLABLES MIXED WITH OTHER RECYCLABLES SOURCE SEPARATION 1ST
ARC7,1,IMPROPER DISPOSAL,COMMINGLING OF DESIGNATED RECYCLABLES WITH SOLID WASTE SOURCE SEP 1ST
ARD1,1,IMPROPER DISPOSAL,COMMINGLING OF DESIGNATED RECYCLABLES WITH SOLID WASTE SINGLE STR 1ST
ARD7,1,IMPROPER DISPOSAL,SEPARATED RECYCLABLE MATERIALS NOT MAINTAINED PRIOR TO COLLECTION 1ST
ARE1,1,RECYCLING PROGRAM,FAIL NOTIFY TEN OCC EMPLOYEES ABT RECY REQ IN WRITING SOURCE SEP 1ST
ARE7,1,improper signage ,FAILURE TO POST SIGNAGE IN STORAGE AREA SOURCE SEP 1ST
ARF1,1,improper signage ,FAILURE TO POST SIGNAGE IN STORAGE AREA SINGLE ST 1ST
ARF4,1,improper signage ,FAILURE TO POST SIGNAGE PUBLIC AREA SOURCE SEP 1ST
ARF7,1,improper signage ,FAILURE TO POST SIGNAGE PUBLIC AREA SINGLE STREAM 1ST
ARG1,1,improper signage ,UNLABELED RECYCLING CONTAINER OWNER LESSEE SOURCE SEP 1ST
ARG4,1,improper signage ,UNLABELED RECYCLING CONTAINER OWNER LESSEE SINGLE STREAM 1ST
ARG7,1,IMPROPER DISPOSAL,FAILURE TO SEPARATE RECYCLABLES SOURCE SEPARATION 1ST
ARH1,1,IMPROPER DISPOSAL,FAILURE TO SEPARATE RECYCLABLES SINGLE STREAM 1ST
ARH4,1,improper signage ,UNLABELED RECYCLING CONTAINER TENANT OCCUPANT SOURCE SEP 1ST
ARH7,1,improper signage ,UNLABELED RECYCLING CONTAINER TENANT OCCUPANT SINGLE STREAM 1ST
ARI1,1,improper signage ,FAILURE TO POST SIGNAGE SOURCE SEPARATION 1ST
ARI4,1,improper signage ,FAILURE TO POST SIGNAGE SINGLE STREAM 1ST
AS01,1,IMPROPER DISPOSAL,REMOVAL OF COMMERCIAL WASTE
AS03,1,littering,LITTERING 1ST OFFENSE
AS04,1,littering,SWEEP-OUT 1ST OFFENSE
AS05,1,littering,THROW-OUT 1ST OFFENSE
AS07,1,obstruction,SIDEWALK OBSTRUCTION
AS10,1,hazards,NOXIOUS LIQUIDS
AS11,1,remove,INTERFERING WITH D.S. EMPLOYEE
AS12,1,remove,UNAUTHORIZED DISTURBANCE OR REMOVAL OF RECYCLABLE MATERIALS-NO VEHICLE
AS17,1,IMPROPER DISPOSAL,SEPARATION AND WEIGHT
AS1Q,1,illegal dumping,ILLEGAL DUMPING OWNER OF VEHICLE 2ND OFFENSE
AS21,1,remove,"SNOW,ICE DIRT ON SIDEWALKS"
AS22,1,debris,"EARTH, ROCKS AND RUBBISH"
AS23,1,obstruction,STREET OBSTRUCTION
AS24,1,remove,DISABLED VEHICLE
AS26,1,dirty sidewalk,FAILURE TO CLEAN 18 INCHES INTO STREET
AS27,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL OF INFECTIOUS MEDICAL WASTE
AS28,1,hazards,IMPROPER TRANSPORT STORAGE DISPOSAL OF ASBESTOS WASTE
AS29,1,hazards,HAZARDOUS TRANSPORTATION STORAGE DISPOSAL OF ASBESTOS WASTE
AS2A,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL DSNY LITTER BASKET - 2ND OFFENSE
AS2C,1,remove,"SNOW, ICE DIRT ON SIDEWALKS - 2ND OFFENSE"
AS2D,1,remove,"SNOW, ICE DIRT ON SIDEWALKS - 3RD OFFENSE"
AS2M,1,remove,RECEIVED RECYCLABLES FOR STORAGE COLLECTION ETC. BY UNAUTH PERSONS-2ND
AS2P,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL - 1ST OFFENSE
AS30,1,remove,ILLEGAL POSTING OF HANDBILL NOTICE
AS33,1,remove,ILLEGAL PLACEMENT OF STICKERS OR DECALS ON PUBLIC OR PRIVATE PROPERTY
AS36,1,remove,OPERATING TRANSFER STATION W O PERMIT NONPUTRESCIBLE WASTE
AS38,1,remove,OPERATING TRANSFER STATION W O PERMIT PUTRESCIBLE WASTE
AS3C,1,littering,LITTERING FROM A MOTOR VEHICLE 1ST OFFENSE
AS3F,1,spills,SPILLAGE FROM A MOTOR VEHICLE 1ST OFFENSE
AS40,1,remove,OPERATING DUMP FILL OPERATION W O PERMIT
AS41,1,remove,COMMISSIONER S RULES RE: FILL DUMP OPERATIONS
AS43,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL OF REGULATED HOUSEHOLD WASTE
AS44,1,remove,VEHICLE BODY - IMPROPER COLOR
AS50,1,hazards,PRESENT FOR STORAGE ASBESTOS WASTE:NOT WET
AS51,1,hazards,"PRESENT FOR STORAGE ASBESTOS WASTE:UNCONTAINED,UNSEALED"
AS54,1,hazards,PRESENT FOR STORAGE ASBESTOS WASTE:MIXED W OTH.WASTE
AS55,1,hazards,STORAGE OF ASBESTOS WASTE:UNCONTAINED UNSEALED
AS56,1,hazards,"STORAGE OF ASBESTOS WASTE:NOT WET,NOT 6 MIL"
AS57,1,hazards,STORAGE OF ASBESTOS WASTE:NO WARNING LABELS
AS58,1,hazards,STORAGE OF ASBESTOS WASTE:NO 24HR INSPECTION
AS59,1,hazards,STORAGE OF ASBESTOS WASTE:INADEQUATE SPARE LEAK-TIGHT CONTAINERS
AS60,1,hazards,STORAGE OF ASBESTOS WASTE:INADEQUATE WATER SUPPLY
AS61,1,hazards,STORAGE OF ASBESTOS WASTE:MIXED W OTHER WASTE
AS63,1,hazards,STORAGE OF ASBESTOS WASTE:50CUBIC YDS NO AUTHORIZATION
AS65,1,hazards,"PRESENT FOR TRANSPORT ASBESTOS WASTE:UNCONTAINED,UNSEALED"
AS66,1,hazards,"PRESENT FOR TRANSPORT ASBESTOS WASTE:NOT WET,NOT 6 MIL"
AS69,1,hazards,PRESENT FOR TRANSPORT ASBESTOS WASTE:MIXED WITH OTHER WASTE
AS6B,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL 3RD OFFENSE
AS6M,1,dirty sidewalk,DIRTY AREA
AS6V,1,dirty sidewalk,DIRTY SIDEWALK DIRTY AREA VACANT LOT
AS72,1,hazards,"TRANSPORT ASBESTOS WASTE:UNCONTAINED,UNSEALED"
AS74,1,hazards,TRANSPORT ASBESTOS WASTE:NO WARNING LABEL
AS8C,1,storage receptacles,STORAGE OF RECEPTACLES - 2ND OFFENSE
AS8D,1,storage receptacles,STORAGE OF RECEPTACLES - 3RD OFFENSE
AS8V,1,dirty sidewalk,FAILURE TO CLEAN 18 INCHES INTO STREET VACANT LOT
AS92,1,remove,FAILURE TO FILE MEDICAL WASTE PLANS AMENDED PLANS
AS94,1,remove,FAILURE TO FILE DEC MEDICAL WASTE PLANS
AS95,1,remove,FAILURE TO FILE MEDICAL WASTE PLANS AMENDED PLANS
AS96,1,SANITATION VIOLATION,SANITATION VIOLATION
AS97,1,dirty sidewalk,"DIRTY SIDEWALK,FAIL TO CLEAN 18 INTO STREET,SIDEWALK OBSTRUCTION 2ND"
AS98,1,SANITATION VIOLATION,SANITATION PROVISION - UNSPECIFIED SECTION
AS9C,1,debris,LOOSE RUBBISH - 2ND OFFENSE
AS9D,1,debris,LOOSE RUBBISH - 3RD OFFENSE
AS9I,1,remove,PUBLIC URINATION 1ST OFFENSE
ASA9,1,storage receptacles,STORAGE OF RECEPTACLES PLACED OUT PRIOR TO 6PM
ASAC,1,storage receptacles,STORAGE OF RECEPTACLES PLACED OUT PRIOR TO 8PM WITHOUT A RECEPTACLE
ASAF,1,storage receptacles,STORAGE OF RECEPTACLE PLACED OUT PRIOR TO 8PM IN UNCOVERED RECEPTACLE
ASAI,1,storage receptacles,STORAGE OF RECEPTACLES MBCP PLACED OUT PRIOR TO 4AM
ASAL,1,storage receptacles,STORAGE OF RECEPTACLES MBCP PLACED OUT AFTER 7AM
ASAO,1,storage receptacles,STORAGE OF RECEPTACLES COM PLACED OUT PRIOR TO 8PM W O A RECEPTACLE
ASAR,1,storage receptacles,STORAGE OF RECEPTACLES COM PLACED OUT PRIOR TO ONE HOUR OF CLOSING
ASAU,1,storage receptacles,STORAGE OF RECEPTACLES COM FAILURE TO REMOVE RECEPTACLES
ASAX,1,storage receptacles,STORAGE OF RECEPTACLES FAILURE TO REMOVE RECEPTACLES
ASBA,1,remove,POSSESS SELL OR OFFER POLYSTYRENE SINGLE SERVICE ARTICLES FSE 1ST
ASBD,1,remove,POSSESS SELL OR OFFER POLYSTYRENE SINGLE SERV ARTICLES MOBILE FOOD 1ST
ASC1,1,improper signage ,FAIL DISPLAY OWNER INFORMATION ON PUBLICLY ACCESSIBLE COLLECTION BIN
ASC3,1,storage receptacles,ILLEGAL PLACEMENT OF PUBLICLY ACCESSIBLE COLLECTION BIN
ASC4,1,storage receptacles,ILLEGAL PLACEMENT OF PUBLICLY ACCESSIBLE COLLECTION BIN 2ND OFF
ASC7,1,storage receptacles,FAIL MAINTAIN COLLECTION BIN IN CLEAN NEAT CONDITION-PROPERTY OWNER
ASCB,1,RECYCLING PROGRAM,FAILURE TO REGISTER PUBLICLY ACCESSIBLE COLLECTION BIN WITH DSNY
ASCF,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL OF ELECTRONIC WASTE
ASDM,1,remove,IMPROPER RECEIPT OF A DEPARTMENT MARKED ITEM 1ST OFFENSE
ASDU,1,remove,FAIL TO SUBMIT QUARTERLY REPORT IN ACCEPTABLE MANNER FORM RPF 1ST
ASDX,1,remove,FAIL TO SUBMIT QUARTERLY REPORT IN ACCEPTABLE MANNER FORM SMF 1ST
ASF3,1,spills,SPILLAGE CONDITION FROM OVERFLOWING RECEPTACLE
ASF4,1,IMPROPER DISPOSAL,FAILURE TO PROPERLY BAG AND OR BUNDLE REFUSE AND RECYCLABLES
